scope,method,topic,keywords
AdMU,NMF,0,"like, ateneo, good, one, time, student, work, friend, see, better, prof, experience"
AdMU,NMF,1,"email, received, send, confirmation, send email, oaa, received email, receive, yet, sent, yes, hello"
AdMU,NMF,2,"scholarship, aid, financial, financial aid, apply, fin, fin aid, application, finaid, fee, scholar, aid scholarship"
AdMU,NMF,3,"program, change, degree, degree program, change degree, request, request change, choice, honor program, honor, change program, accepted"
AdMU,NMF,4,"year, first, first year, sem, shift, second, last, last year, yes, apply, second year, freshman"
AdMU,NMF,5,"result, waitlisted, applicant, huhu, week, recon, last, release, june, deadline, rejected, mine"
AdMU,NMF,6,"class, pre, enlisted, enlistment, pre enlisted, subject, enlist, incoming, hello, schedule, prof, freshman"
AdMU,NMF,7,"course, choice, honor, honor course, shift, management, math, science, psych, passed, take, admu"
AdMU,NMF,8,"appeal, letter, appeal letter, endorsement, rejected, endorsement letter, finaid, recon, letter appeal, chance, write, recommendation"
AdMU,NMF,9,"school, high, high school, grade, form, admu, recommendation, record, school year, application, ateneo, teacher"
AdMU,LDA,0,"ateneo, student, work, study, hard, phone, prefer, like, part, learning, job, laptop"
AdMU,LDA,1,"like, good, friend, prof, definitely, time, mean, help, experience, honestly, find, work"
AdMU,LDA,2,"year, scholarship, math, first, apply, sem, tuition, aid, scholar, freshman, financial, take"
AdMU,LDA,3,"email, result, hello, appeal, deadline, form, oaa, received, application, confirmation, yet, last"
AdMU,LDA,4,"course, program, ateneo, hello, choice, admu, acet, passed, chance, honor, change, shift"
AdMU,LDA,5,"day, task, hour, year, per, class, every, subject, pretty, time, session, break"
AdMU,LDA,6,"class, time, always, prof, day, subject, first, girl, week, fan, focus, blocking"
AdMU,LDA,7,"school, grade, letter, high, student, like, shs, year, essay, admu, bellarmine, teacher"
AdMU,LDA,8,"room, heat, blue, store, away, ride, walang, one, marikina, school, jeep, near"
AdMU,LDA,9,"exam, joke, school, every, see, feeling, transferring, best, close, acet, growth, baka"
Benilde,NMF,0,"student, campus, see, professor, government, working, student government, issue, leader, take, agree, problem"
