scope,method,topic,keywords
ALL,NMF,0,"like, one, time, friend, work, day, better, take, see, help, since, right"
ALL,NMF,1,"appeal, result, letter, hello, recon, waitlisted, rejected, applicant, huhu, finaid, slot, accepted"
ALL,NMF,2,"email, received, send, confirmation, yes, send email, receive, oaa, yet, sent, received email, form"
ALL,NMF,3,"year, first, first year, last, last year, sem, shift, second, freshman, subject, second year, yes"
ALL,NMF,4,"prof, class, sir, grade, online, student, term, subject, chill, online class, teaching, week"
ALL,NMF,5,"scholarship, aid, apply, financial, fee, financial aid, ateneo, tuition, fin, fin aid, application, finaid"
ALL,NMF,6,"yan, mag, nag, hahaha, tapos, sana, nung, pwede, alam, lahat, walang, parang"
ALL,NMF,7,"school, student, high, ateneo, grade, high school, dlsu, admu, benilde, college, university, school year"
ALL,NMF,8,"course, program, choice, change, degree, shift, honor, degree program, management, passed, request, accepted"
ALL,NMF,9,"good, luck, good luck, grade, best, sir, see, exam, math, good grade, congrats, best luck"
ALL,LDA,0,"ateneo, email, yes, result, since, application, last, week, day, accepted, fee, form"
ALL,LDA,1,"frat, law, gusto, wish, state, towards, rule, basta, budget, anong, living, background"
ALL,LDA,2,"admu, big, dlsu, especially, university, experience, org, orgs, graduate, dorm, job, admin"
ALL,LDA,3,"like, school, student, one, time, good, friend, college, better, best, work, help"
ALL,LDA,4,"grade, prof, exam, honor, question, answer, shs, final, test, review, class, section"
ALL,LDA,5,"country, med, priority, israel, felt, philippine, stop, explain, car, message, welcome, ranking"
ALL,LDA,6,"class, campus, day, room, unit, task, online, per, hour, usually, away, rent"
ALL,LDA,7,"year, course, program, first, scholarship, hello, appeal, subject, take, math, chance, ust"
ALL,LDA,8,"letter, sem, shift, recon, request, regarding, enlistment, shifting, process, document, june, enrollment"
ALL,LDA,9,"yan, nag, mag, walang, baka, hahaha, pwede, nung, tapos, lahat, sobrang, iba"
