scope,method,topic,keywords
ALL,NMF,0,"course, choice, math, take, shift, management, honor, honor course, subject, science, psych, passed"
ALL,NMF,1,"hello, result, huhu, week, waitlisted, recon, applicant, june, last, anyone, deadline, received"
ALL,NMF,2,"email, send, received, confirmation, send email, oaa, receive, received email, yet, sent, ateneo, call"
ALL,NMF,3,"year, first, first year, last, last year, sem, shift, second, freshman, second year, subject, school year"
ALL,NMF,4,"prof, sir, grade, term, chill, subject, good prof, pick, report, nya, teaching, depends prof"
ALL,NMF,5,"appeal, letter, recon, rejected, appeal letter, waitlisted, chance, slot, finaid, grade, reconsideration, endorsement"
ALL,NMF,6,"yan, mag, nag, hahaha, tapos, sana, nung, pwede, lahat, alam, walang, parang"
ALL,NMF,7,"school, high, grade, high school, ateneo, admu, dlsu, form, school year, dream, college, science"
ALL,NMF,8,"program, change, degree, degree program, choice, request, change program, change degree, honor, honor program, request change, shift"
ALL,NMF,9,"good, luck, good luck, sir, best, see, grade, exam, math, congrats, good grade, best luck"
ALL,NMF,10,"class, online, subject, pre, day, schedule, online class, enlistment, enlisted, week, enlist, pre enlisted"
ALL,NMF,11,"scholarship, aid, apply, financial, fee, financial aid, ateneo, tuition, fin, fin aid, finaid, application"
ALL,NMF,12,"yes, send, long, term, free, teacher, mean, campus, message, question, yes possible, check"
ALL,NMF,13,"student, dlsu, benilde, professor, university, campus, many, number, incoming, admin, current, issue"
ALL,NMF,14,"like, one, time, friend, work, better, see, help, day, right, take, life"
ALL,LDA,0,"email, result, application, last, week, form, passed, oaa, anyone, yet, deadline, applicant"
ALL,LDA,1,"yan, nag, frat, mag, walang, baka, pwede, nung, tapos, lahat, sobrang, nalang"
ALL,LDA,2,"room, org, orgs, definitely, dorm, worth, join, business, engineering, career, interview, company"
ALL,LDA,3,"time, class, one, prof, like, day, work, subject, part, every, hard, end"
ALL,LDA,4,"chance, honor, financial, luck, dream, transfer, receive, past, thru, value, hoping, explain"
ALL,LDA,5,"student, admin, teacher, enlistment, pre, issue, professor, education, department, found, compared, lab"
ALL,LDA,6,"unit, per, hour, task, taking, center, extra, break, aircon, fan, session, abroad"
ALL,LDA,7,"year, ateneo, course, program, first, since, hello, take, scholarship, appeal, choice, slot"
ALL,LDA,8,"letter, question, huhu, incoming, freshie, rent, soon, curious, date, pls, noon, message"
ALL,LDA,9,"mean, campus, see, one, sorry, health, case, never, like, less, else, problem"
ALL,LDA,10,"good, like, friend, better, best, experience, life, right, find, especially, many, yes"
ALL,LDA,11,"iba, dahil, joke, muna, nang, lalo, minsan, maraming, mahirap, agad, certificate, traffic"
ALL,LDA,12,"school, admu, ust, college, big, dlsu, fee, high, tuition, freshman, pay, scholar"
ALL,LDA,13,"grade, math, exam, took, grad, answer, essay, pas, final, average, test, higher"
ALL,LDA,14,"ibang, ngayon, bang, jeep, kong, advance, doon, ride, rule, freshies, award, white"
