topic_label,strong,weak
T00,62.5,37.5
T01,68.7,31.3
T02,72.5,27.500000000000004
T03,53.5,46.5
T04,39.5,60.5
T05,65.2,34.8
T06,42.0,57.99999999999999
T07,48.4,51.6
T08,60.9,39.1
T09,52.800000000000004,47.199999999999996
T10,49.7,50.3
T11,65.9,34.1
T12,61.5,38.5
T13,37.2,62.8
T14,45.300000000000004,54.7
