scope,method,topic,keywords
AdMU,NMF,0,"like, ateneo, student, one, time, work, friend, experience, better, prof, since, college"
AdMU,NMF,1,"email, send, send email, oaa, receive, yes, sent, receive email, received email, confirmation, call, wait"
AdMU,NMF,2,"aid, financial, financial aid, fin, fin aid, apply, application, apply financial, aid scholarship, aid application, apply fin, admission"
AdMU,NMF,3,"program, change, degree, degree program, change degree, request, request change, choice, honor program, honor, change program, accepted"
AdMU,NMF,4,"year, first, first year, sem, shift, second, last, last year, apply, yes, freshman, second year"
AdMU,NMF,5,"result, waitlisted, applicant, recon, week, huhu, june, release, last, rejected, deadline, waitlisted applicant"
AdMU,NMF,6,"class, pre, enlisted, pre enlisted, subject, enlistment, enlist, prof, schedule, aisis, natsci, day"
AdMU,NMF,7,"course, choice, honor, math, honor course, shift, management, psych, science, take, passed, first choice"
AdMU,NMF,8,"appeal, letter, appeal letter, endorsement, endorsement letter, rejected, recon, letter appeal, chance, write, finaid, recommendation"
AdMU,NMF,9,"hello, incoming, huhu, admu, freshman, incoming freshman, freshie, hello incoming, question, incoming freshie, discord, freshies"
AdMU,NMF,10,"fee, confirmation, tuition, pay, confirmation fee, tuition fee, paid, deadline, pay confirmation, payment, pay tuition, paid confirmation"
AdMU,NMF,11,"school, high, grade, high school, form, admu, recommendation, application, school year, record, teacher, school record"
AdMU,NMF,12,"good, luck, good luck, best, see, grade, best luck, math, essay, application, oaa, hahaha"
AdMU,NMF,13,"scholarship, finaid, apply, oaa, scholar, dorm, dost, finaid scholarship, allowance, granted, passed, grant"
AdMU,NMF,14,"received, mine, received mine, yet, received email, anyone, mine yet, submitted, anyone received, email yet, hello received, day"
AdMU,LDA,0,"good, student, always, friend, nice, room, time, manila, laptop, area, use, diff"
AdMU,LDA,1,"like, school, good, ateneo, admu, student, college, best, friend, since, work, one"
AdMU,LDA,2,"year, scholarship, first, math, scholar, sem, apply, bellarmine, next, dorm, second, freshman"
AdMU,LDA,3,"email, result, deadline, form, appeal, hello, application, oaa, received, confirmation, yet, admission"
AdMU,LDA,4,"room, marikina, ateneo, ride, bang, doon, pwede, hii, hello, walk, walang, sci"
AdMU,LDA,5,"day, time, task, hour, every, week, subject, per, session, like, start, break"
AdMU,LDA,6,"prof, time, always, like, better, done, let, fan, blocking, remember, focus, help"
AdMU,LDA,7,"school, blue, grade, high, feeling, white, order, letter, teacher, night, batch, true"
AdMU,LDA,8,"store, away, campus, bring, sorry, one, jeep, far, front, noon, lrt, cold"
AdMU,LDA,9,"joke, yan, phone, baka, pas, yes, traffic, mag, moment, lahat, acet, parent"
AdMU,LDA,10,"pretty, dlsu, like, plan, admu, center, shs, reason, trying, canvas, year, felt"
AdMU,LDA,11,"see, batch, sem, number, hello, incoming, early, end, face, gave, freshie, memo"
AdMU,LDA,12,"course, program, hello, choice, chance, acet, aid, slot, accepted, passed, ateneo, change"
AdMU,LDA,13,"class, heat, lab, certain, chem, online, prof, enlistment, subject, depends, check, non"
AdMU,LDA,14,"fee, aisis, aircon, pay, tuition, open, clothes, bec, paid, receive, step, else"
Benilde,NMF,0,"student, campus, see, professor, government, working, take, student government, issue, agree, leader, problem"
Benilde,NMF,1,"sir, grade, chill, super, goat, goated, sya, nice, subject, fun, hello, mataas"
Benilde,NMF,2,"class, online, attend, activity, hour, attend class, week, super, attendance, late, miss, always"
Benilde,NMF,3,"prof, good prof, nung, chill, teach, online, nice, rate, huhu, absence, prof benilde, chill prof"
Benilde,NMF,4,"one, friend, sorry, group, guy, find, mean, hard, might, person, help, best"
Benilde,NMF,5,"yan, mag, nag, mabait, nya, sana, wag, alam, prof yan, yang, lahat, walang"
Benilde,NMF,6,"benilde, shit, university, health, many, take, ust, kind, student benilde, wrong, reputation, manila"
Benilde,NMF,7,"term, next, next term, last, last term, first, first term, year, end, able, end term, reason"
Benilde,NMF,8,"like, csb, thought, lahat, see, dlsu, bad, seems, point, right, bro, student like"
Benilde,NMF,9,"school, real, csb, dlsu, high, high school, work, stop, expect, admin, year, tuition"
Benilde,NMF,10,"per, unit, per unit, hour, month, week, per month, php, rate, per hour, part, csb"
Benilde,NMF,11,"good, luck, good luck, good prof, point, since, teacher, kay, teaching, good hand, hand, good teaching"
Benilde,NMF,12,"art, course, subject, film, program, mental, mma, health, mental health, csb, since, related"
Benilde,NMF,13,"time, day, let, part, first, give, submit, nung, since, work, part time, nag"
Benilde,NMF,14,"frosh, hate, year, frosh hate, niyo, real, joke, senior, change, siguro, dami, day"
Benilde,LDA,0,"term, end, agree, rate, yes, atrium, school, get, besg, read, card, wear"
Benilde,LDA,1,"student, like, school, admin, system, year, tuition, fee, one, new, tao, leader"
Benilde,LDA,2,"benilde, csb, school, student, like, course, college, work, time, different, dlsu, part"
Benilde,LDA,3,"prof, school, benilde, like, let, concern, real, situation, admin, art, student, everyone"
