scope,method,topic,keywords
Benilde,LDA,4,"yan, prof, mag, nag, guy, school, niyo, time, dun, class, pwede, tapos"
Benilde,LDA,5,"one, like, student, campus, course, friend, term, time, first, since, last, especially"
Benilde,LDA,6,"benilde, sana, health, student, ta, mag, alam, mental, time, school, nung, whole"
Benilde,LDA,7,"online, student, benilde, government, guy, modality, campus, shift, email, account, marketing, sabi"
Benilde,LDA,8,"prof, nya, sya, term, sir, nyo, super, good, group, yan, nung, mabait"
Benilde,LDA,9,"frosh, like, friend, use, best, give, classmate, find, vibe, experience, hate, man"
Benilde,LDA,10,"student, benilde, like, school, film, issue, take, time, strike, one, good, let"
Benilde,LDA,11,"benilde, one, friend, org, rule, free, never, fuck, hello, mma, report, event"
Benilde,LDA,12,"student, question, pre, good, pls, dude, program, floor, national, school, omg, minor"
Benilde,LDA,13,"class, sir, prof, grade, good, time, chill, activity, give, term, strict, always"
Benilde,LDA,14,"per, unit, class, month, week, taking, hour, hahaha, office, php, bring, time"
dlsu,NMF,0,"time, good, day, luck, college, see, life, good luck, work, experience, hahaha, since"
dlsu,NMF,1,"program, change, change program, choice, redirected, request, degree, passed, shift, accepted, sfa, chance"
dlsu,NMF,2,"fee, reservation, reservation fee, pay, pay reservation, confirmation, tuition, tuition fee, confirmation fee, enrollment, hello, paid"
dlsu,NMF,3,"prof, report, prof like, nya, matter, come, miss, call, grade, ganyan, proof, yan"
dlsu,NMF,4,"like, like nakapasa, nakapasa, help, wtf, prof like, happened, stuff, seems, idk, study, seems like"
dlsu,NMF,5,"dlsu, school, ust, dream, since, admu, true, university, website, edu, high, shs"
dlsu,NMF,6,"email, recon, hello, letter, reconsideration, send, reply, recon letter, result, form, sent, admission"
dlsu,NMF,7,"course, redirected, choice, passed, major, possible, engineering, science, quota course, slot, bio, quota"
dlsu,NMF,8,"student, class, online, professor, online class, called, teacher, number, many, work, suspension, school"
dlsu,NMF,9,"one, kid, hahaha, especially, right, floor, work, one time, behind, ever, use, saw"
dlsu,NMF,10,"term, year, first, last, take, shift, first term, subject, per, unit, first year, major"
dlsu,NMF,11,"friend, find, huhu, better, new, group, new friend, keep, friend group, broke, case, making"
dlsu,NMF,12,"grade, yes, question, exam, dshape, mean, topic, part, math, remember, answer, final"
dlsu,NMF,13,"campus, laguna, laguna campus, manila, manila campus, see, passed, building, taft, offered, possible, inside"
dlsu,NMF,14,"scholarship, apply, sfa, dcat, result, grant, special dcat, special, archer, apply sfa, passed, income"
dlsu,LDA,0,"choice, scholarship, one, change, take, job, redirected, minimum, right, program, bare, apply"
dlsu,LDA,1,"paper, assessment, wrong, form, copy, let, privacy, email, score, sheet, school, information"
dlsu,LDA,2,"good, like, question, luck, exam, study, day, science, gave, top, hello, work"
dlsu,LDA,3,"prof, honor, like, subject, latin, fail, sabi, class, grade, end, gpa, time"
dlsu,LDA,4,"like, agad, lahat, either, end, answer, talk, professor, better, mean, prof, kang"
dlsu,LDA,5,"course, program, term, dlsu, major, year, student, shift, first, learn, etc, hello"
dlsu,LDA,6,"like, dlsu, school, find, since, tuition, feeling, year, fee, time, frosh, place"
dlsu,LDA,7,"matter, best, prof, rule, anything, different, work, class, based, take, handle, might"
dlsu,LDA,8,"grade, mag, life, yan, skill, real, lahat, sched, nmn, nag, ngayon, education"
dlsu,LDA,9,"class, grade, time, life, experience, student, person, college, always, number, final, project"
dlsu,LDA,10,"class, day, week, issue, trying, lack, wanna, next, last, yet, stuff, student"
dlsu,LDA,11,"friend, point, world, work, everyone, small, time, person, eventually, group, part, might"
dlsu,LDA,12,"student, dlsu, recon, letter, department, one, case, quiz, institution, approach, many, prof"
dlsu,LDA,13,"class, online, mindset, see, end, break, prof, time, walang, ganyan, suspension, israel"
dlsu,LDA,14,"one, hahaha, batch, groupmates, omg, video, fee, email, failed, reservation, bad, pay"
peyups,NMF,0,"time, one, better, yes, friend, work, life, help, sorry, day, take, experience"
peyups,NMF,1,"rule, reddiquette, sidebar, review rule, review, ban, rule listed, rule reddiquette, ground ban, continuous violation, reddiquette continuous, rule ground"
peyups,NMF,2,"yan, yang, pwede, iba, baka, pwede yan, college, npa, nasa, walang, nyo, ganyan"
peyups,NMF,3,"israel, palestinian, hamas, jew, israeli, palestine, gaza, arab, country, terrorist, refugee, land"
peyups,NMF,4,"campus, upd, appeal, program, course, choice, slot, upg, upm, dpwas, first, uplb"
peyups,NMF,5,"hahaha, nung, dati, parang, delulu, hahahaha, congrats, loob, yan hahaha, nito, bukas, youu"
peyups,NMF,6,"good, luck, good luck, congrats, journey, congratulation, happy, college, isko, study, upou, future"
peyups,NMF,7,"year, last, last year, ago, year ago, first, college, first year, graduate, transfer, best, life"
peyups,NMF,8,"prof, class, sem, pabibo, classmate, email, online, walang, dept, absence, iba, tenured"
peyups,NMF,9,"school, upcat, grade, high, high school, exam, pas, chance, private, public, upca, admission"
peyups,NMF,10,"nag, mag, tapos, alam, nung, gusto, dito, dahil, parang, dapat, nya, lahat"
peyups,NMF,11,"student, university, class, rich, public, poor, education, academic, middle, faculty, problem, middle class"
peyups,NMF,12,"sana, congrats, fair, hello, pls, nya, kaso, sya, lahat, mean, salamat, nalang"
peyups,NMF,13,"like, fair, bad, comment, see, sound, world, kind, npa, never, sound like, since"
peyups,NMF,14,"math, take, applied, applied math, course, subject, science, major, take math, math math, physic, econ"
peyups,LDA,0,"work, prof, job, experience, honor, grad, math, time, year, research, take, salary"
peyups,LDA,1,"tapos, nag, mag, yan, iba, lahat, nung, dahil, alam, dapat, sobrang, parang"
peyups,LDA,2,"like, time, one, better, person, see, always, good, fair, kind, point, wrong"
peyups,LDA,3,"student, school, one, university, life, rich, college, mean, poor, many, quality, class"
peyups,LDA,4,"social, account, war, nilang, literally, omg, medium, economic, curious, unang, old, status"
peyups,LDA,5,"prof, sya, friend, nya, class, baka, email, nag, pwede, week, huhu, nung"
peyups,LDA,6,"course, campus, program, slot, upd, first, choice, appeal, sem, degree, unit, since"
peyups,LDA,7,"israel, laptop, hamas, like, country, pandemic, israeli, personally, jew, palestine, year, post"
peyups,LDA,8,"orgs, npa, call, student, campus, puro, dapat, taga, yan, pati, admin, trabaho"
peyups,LDA,9,"fair, sana, content, guideline, needed, nalang, final, harassed, hay, niyan, lagi, bang"
peyups,LDA,10,"good, education, upcat, like, luck, health, mental, pas, thinking, thought, keep, mind"
peyups,LDA,11,"help, time, year, one, best, life, case, like, read, saying, reply, new"
peyups,LDA,12,"grade, year, school, exam, upcat, high, admission, congrats, heard, second, first, result"
peyups,LDA,13,"palestinian, yan, hirap, ganyan, walang, mag, space, maging, siguro, deserve, refugee, basta"
peyups,LDA,14,"rule, class, middle, name, dorm, information, review, identifiable, desktop, per, hour, take"
