topic_label,strong,weak
T00,62.0,38.0
T01,67.80000000000001,32.2
T02,73.8,26.200000000000003
T03,54.0,46.0
T04,40.300000000000004,59.699999999999996
T05,65.5,34.5
T06,41.8,58.199999999999996
T07,45.0,55.00000000000001
T08,60.699999999999996,39.300000000000004
T09,52.300000000000004,47.699999999999996
T10,50.2,49.8
T11,65.60000000000001,34.4
T12,46.0,54.0
T13,36.8,63.2
T14,44.1,55.900000000000006
T15,68.0,32.0
T16,64.5,35.5
T17,52.0,48.0
T18,63.6,36.4
T19,44.9,55.1
