scope,method,topic,keywords
Benilde,NMF,15,"friend, group, find, guy, circle, friend group, best, love, close, girl, keep, take"
Benilde,NMF,16,"hahaha, lahat, ata, hour, chair, dati, mma, tapos, dude, ta, happy, hay"
Benilde,NMF,17,"time, day, part, first, let, part time, submit, nung, since, work, nung time, meet"
Benilde,NMF,18,"sorry, mental, health, mental health, omg, let, sorry hear, hear, better, mean, help, happened"
Benilde,NMF,19,"online, nag, mag, shift, shift online, modality, sabi, lahat, online modality, alam, parang, nalang"
Benilde,LDA,0,"term, prof, end, grade, next, dlsu, week, faculty, yes, latch, full, good"
Benilde,LDA,1,"student, group, friend, admin, sorry, one, besg, guard, issue, saw, leader, line"
Benilde,LDA,2,"csb, course, school, benilde, student, work, one, part, like, person, class, admin"
Benilde,LDA,3,"benilde, like, school, student, art, see, comment, kind, mean, prof, especially, professor"
Benilde,LDA,4,"student, prof, time, school, absence, benilde, mma, art, one, rule, class, med"
Benilde,LDA,5,"campus, student, benilde, one, iba, sda, course, time, told, like, class, take"
Benilde,LDA,6,"benilde, mag, school, health, mental, student, ta, baka, prof, kase, dahil, siguro"
Benilde,LDA,7,"nag, online, like, benilde, sobrang, shift, fuck, day, dun, sabi, mag, ta"
Benilde,LDA,8,"prof, nya, sya, tapos, sir, nung, class, super, week, mabait, kanya, yan"
Benilde,LDA,9,"frosh, like, good, use, real, since, laptop, friend, prof, best, entitled, future"
Benilde,LDA,10,"student, like, film, school, benilde, take, strike, let, understand, issue, system, time"
Benilde,LDA,11,"fee, tuition, hello, school, taking, parang, nalang, health, matter, code, dress, kailangan"
Benilde,LDA,12,"minor, student, omg, girl, benildean, sorry, org, full, hear, gonna, friend, true"
Benilde,LDA,13,"class, sir, prof, good, grade, activity, time, chill, strict, quiz, lesson, work"
Benilde,LDA,14,"per, unit, month, hour, one, face, php, class, teaching, come, week, time"
Benilde,LDA,15,"like, student, school, find, guy, issue, thought, cause, one, man, dude, term"
Benilde,LDA,16,"yan, niyo, lahat, nasa, yes, dito, art, form, school, talk, parang, change"
Benilde,LDA,17,"student, like, everyone, inclusive, benilde, let, wish, bigger, definitely, currently, fountain, use"
Benilde,LDA,18,"friend, prof, student, yan, time, subject, super, bro, best, working, year, sir"
Benilde,LDA,19,"class, always, like, pas, kinda, give, prof, time, nice, tho, attend, sir"
dlsu,NMF,0,"time, day, life, since, long, part, always, first time, first, take, place, better"
dlsu,NMF,1,"program, change, change program, redirected, request, degree, shift, hello, sfa, degree program, chance, shifting"
dlsu,NMF,2,"fee, reservation, reservation fee, pay, pay reservation, confirmation, tuition, tuition fee, confirmation fee, enrollment, hello, paid"
dlsu,NMF,3,"prof, prof like, report, matter, nya, come, bad, call, proof, miss, depends prof, report prof"
dlsu,NMF,4,"like, like nakapasa, nakapasa, help, wtf, prof like, stuff, happened, idk, study, seems, real"
dlsu,NMF,5,"dlsu, school, ust, dream, admu, since, true, university, website, edu, high, shs"
dlsu,NMF,6,"email, recon, hello, letter, reconsideration, send, reply, form, recon letter, result, sent, admission"
dlsu,NMF,7,"course, redirected, major, science, quota course, possible, quota, bio, passed, shift, take, slot"
dlsu,NMF,8,"student, professor, called, dlsu student, college, student professor, personal, teacher, miss, number, call, posting"
dlsu,NMF,9,"friend, better, find, new, group, huhu, new friend, keep, friend group, case, broke, best"
dlsu,NMF,10,"term, take, shift, first term, subject, shifting, per, unit, per term, major, two, first"
dlsu,NMF,11,"good, luck, good luck, see, exam, internship, experience, best, psych, org, tho, early"
dlsu,NMF,12,"class, online, online class, week, suspension, day, hybrid, prefer, pandemic, face, might, ftf"
dlsu,NMF,13,"one, work, kid, especially, best, right, use, one time, behind, ever, floor, case"
dlsu,NMF,14,"choice, first, first choice, second, recon, passed, second choice, engineering, redirected, apply, accepted, slot"
dlsu,NMF,15,"scholarship, apply, sfa, dcat, result, special dcat, special, archer, grant, apply sfa, passed, archer achiever"
dlsu,NMF,16,"yan, hahaha, mag, pwede, report, nag, dapat, tapos, baka, sabi, lahat, parang"
dlsu,NMF,17,"grade, yes, question, mean, dshape, exam, part, topic, math, remember, gpa, honor"
dlsu,NMF,18,"year, last, since, last year, first year, ago, year ago, first, college, never, month, level"
dlsu,NMF,19,"campus, laguna, laguna campus, manila, manila campus, building, see, taft, offered, passed, possible, inside"
dlsu,LDA,0,"one, usually, month, many, project, told, address, result, tho, meeting, event, deadline"
dlsu,LDA,1,"paper, assessment, copy, literally, form, work, small, like, might, want, giving, name"
dlsu,LDA,2,"good, priority, better, everything, end, nmn, exam, honor, hahaha, siguro, chance, start"
dlsu,LDA,3,"best, person, prof, everyone, corporate, work, minimum, bare, part, point, care, admin"
dlsu,LDA,4,"wrong, better, pretty, high, matter, score, different, prof, handle, grade, etc, learn"
dlsu,LDA,5,"problem, letter, student, year, college, change, program, case, hello, wanna, reconsideration, science"
dlsu,LDA,6,"dlsu, since, like, weather, option, pay, time, financially, harsh, tuition, med, man"
dlsu,LDA,7,"prof, subject, rule, redirected, engineering, fail, based, hahaha, one, super, sobrang, sayang"
dlsu,LDA,8,"class, grade, college, life, skill, major, everyone, real, like, kay, degree, easy"
dlsu,LDA,9,"time, week, understand, quiz, like, every, nung, term, stuff, failure, best, exam"
dlsu,LDA,10,"friend, course, since, place, feeling, life, love, name, last, family, either, especially"
dlsu,LDA,11,"like, eventually, hard, talk, college, trying, mindset, friend, world, uni, point, wanna"
dlsu,LDA,12,"good, like, yes, manila, sfa, campus, grade, laguna, friend, legit, adviser, dito"
dlsu,LDA,13,"student, class, break, time, walang, school, group, omg, given, grad, part, like"
dlsu,LDA,14,"fee, tuition, sheet, like, video, groupmates, reservation, sabi, tapos, naka, term, interview"
dlsu,LDA,15,"prof, student, grade, dlsu, canvas, personal, class, miss, final, report, happened, professor"
dlsu,LDA,16,"class, end, online, privacy, batch, might, stay, everyone, one, unless, time, communication"
dlsu,LDA,17,"course, program, dlsu, term, scholarship, first, shift, hello, recon, email, choice, take"
dlsu,LDA,18,"lahat, nag, yan, kind, online, take, class, mag, yes, prof, right, agad"
dlsu,LDA,19,"honor, always, school, job, one, find, latin, gpa, let, never, able, long"
peyups,NMF,0,"student, university, class, rich, poor, academic, middle, faculty, middle class, problem, orgs, public"
peyups,NMF,1,"rule, reddiquette, ban, rule reddiquette, rule listed, continuous violation, rule ground, reddiquette continuous, abiding rule, ground ban, violation rule, abiding"
peyups,NMF,2,"yan, yang, pwede, iba, baka, pwede yan, college, nasa, nyo, ginagawa, npa, dyan"
peyups,NMF,3,"israel, palestinian, hamas, jew, israeli, palestine, gaza, arab, country, terrorist, land, refugee"
peyups,NMF,4,"campus, upd, appeal, program, choice, course, slot, upg, upm, dpwas, first, uplb"
peyups,NMF,5,"hahaha, nung, dati, delulu, parang, hahahaha, congrats, loob, yan hahaha, nito, bukas, youu"
peyups,NMF,6,"good, luck, good luck, congrats, journey, congratulation, happy, college, isko, study, keep, see"
peyups,NMF,7,"year, last, last year, ago, year ago, first, first year, college, graduate, transfer, nung, best"
peyups,NMF,8,"prof, class, pabibo, classmate, sem, email, walang, online, dept, absence, iba, tenured"
peyups,NMF,9,"school, high, high school, public, private, college, education, best, public school, science, grad, private school"
peyups,NMF,10,"upcat, grade, exam, pas, chance, take, upca, pumasa, admission, average, score, line"
peyups,NMF,11,"math, applied, applied math, take, course, subject, science, major, math math, take math, physic, econ"
peyups,NMF,12,"sana, congrats, nya, pls, kaso, sya, hello, mean, lahat, salamat, nalang, hihi"
peyups,NMF,13,"time, better, friend, sorry, work, first, day, life, job, sem, experience, start"
peyups,NMF,14,"name, personally identifiable, identifiable information, identifiable, information, personally, take, post, see, follow, guideline, information name"
peyups,NMF,15,"mag, tapos, alam, gusto, dito, dapat, parang, nya, dahil, walang, lahat, ngayon"
peyups,NMF,16,"like, bad, see, comment, kind, never, sound, since, point, others, world, case"
peyups,NMF,17,"one, yes, side, help, saying, point, experience, take, great, best, away, another"
peyups,NMF,18,"fair, org, protest, advocacy, feb, feb fair, event, ticket, organizer, artist, commercialized, parang"
peyups,NMF,19,"nag, nung, nag apply, apply, email, sakin, sya, isang, jeep, nalang, sem, nag aral"
peyups,LDA,0,"yan, sya, hahaha, nya, dapat, mag, student, dahil, walang, lahat, pwede, silang"
peyups,LDA,1,"mag, nag, tapos, iba, yan, gusto, dahil, ngayon, sobrang, dito, sana, lahat"
peyups,LDA,2,"like, better, see, fair, orgs, kind, one, time, good, love, big, event"
peyups,LDA,3,"one, student, many, group, world, right, cheating, solution, state, like, side, without"
peyups,LDA,4,"prof, siguro, parang, reply, agad, nun, ta, huhu, mag, ayaw, kong, alam"
peyups,LDA,5,"student, laptop, university, space, budget, education, campus, day, public, admin, baka, video"
peyups,LDA,6,"sem, class, time, first, hour, prof, week, day, hug, since, lower, study"
peyups,LDA,7,"prof, issue, student, moment, nyo, posting, health, social, profile, mental, thoroughly, class"
peyups,LDA,8,"rich, poor, personally, middle, name, information, class, war, take, post, policy, comment"
peyups,LDA,9,"exam, bad, final, kaysa, kailangan, reading, grade, easy, add, nalang, internet, concept"
peyups,LDA,10,"palestinian, refugee, scholarship, control, exam, pumasa, history, pano, upcat, thinking, leave, inside"
peyups,LDA,11,"life, time, like, one, help, best, college, good, others, keep, always, end"
peyups,LDA,12,"admission, process, account, org, office, use, campus, low, yes, pandemic, since, looking"
peyups,LDA,13,"mean, connection, yan, deserve, give, online, never, system, advantage, tuition, university, social"
peyups,LDA,14,"rule, review, desktop, find, follow, frat, sidebar, reddiquette, complaint, picture, civil, interaction"
peyups,LDA,15,"course, upd, program, year, grade, upcat, campus, math, slot, choice, first, good"
peyups,LDA,16,"friend, year, nag, meron, tapos, last, trabaho, dorm, nalang, naka, nung, break"
peyups,LDA,17,"israel, research, country, land, company, industry, omg, position, field, sucs, faculty, honor"
peyups,LDA,18,"school, student, unit, high, public, education, private, quality, college, university, heard, upcat"
peyups,LDA,19,"job, work, experience, grad, year, laude, graduate, salary, first, time, take, adviser"
